acc_test,Precision,Recall,F1_score,auc,kappa,mathew_coef,model_name,model,dataset,subject,acc_train,acc_val
0.5555555555555556,0.45185185185185184,0.5555555555555556,0.4943469785575048,0.25,0.33640552995391715,0.34818798261122,EEGNet,EEGNet,Motor Imaginary,13,0.8611111044883728,0.5
0.5555555555555556,0.3758169934640523,0.5555555555555556,0.42022792022792027,0.46875,0.14792899408284033,0.2877557846975818,EEGNet,EEGNet,Motor Imaginary,17,0.8194444179534912,0.5
0.5555555555555556,0.4111111111111111,0.5555555555555556,0.449074074074074,0.40625,0.20879120879120872,0.2602983965668157,ShallowConvNet,ShallowConvNet,Motor Imaginary,13,1.0,0.4444444477558136
0.5555555555555556,0.4801587301587301,0.5555555555555556,0.48856682769726245,0.375,0.23404255319148937,0.26735990234692397,HopefullNet,HopefullNet,Motor Imaginary,17,0.9722222089767456,0.4444444477558136
0.5555555555555556,0.43253968253968256,0.5555555555555556,0.46537842190016104,0.609375,0.23404255319148937,0.26735990234692397,ShallowConvNet,ShallowConvNet,Motor Imaginary,14,0.9944444298744202,0.3888888955116272
0.5555555555555556,0.6111111111111112,0.5555555555555556,0.5383597883597884,0.3125,0.29064039408866993,0.3037043858772209,HopefullNet,HopefullNet,Motor Imaginary,12,0.949999988079071,0.2777777910232544
0.5,0.4358974358974359,0.5,0.4515151515151516,0.34375,0.1692307692307693,0.18329939214386665,ShallowConvNet,ShallowConvNet,Motor Imaginary,19,1.0,0.8333333134651184
0.5,0.4592592592592593,0.5,0.47500000000000003,0.5625,0.26363636363636356,0.2699105367556033,ShallowConvNet,ShallowConvNet,Motor Imaginary,12,0.9972222447395325,0.5
0.5,0.4747474747474748,0.5,0.4740740740740741,0.53125,0.22115384615384615,0.22516579626137442,HopefullNet,HopefullNet,Motor Imaginary,13,0.9694444537162781,0.4444444477558136
0.5,0.5833333333333334,0.5,0.5327380952380953,0.796875,0.31063829787234043,0.32166394238360135,EEGNet,EEGNet,Motor Imaginary,10,0.7833333611488342,0.3333333432674408
0.5,0.48888888888888893,0.5,0.49064327485380116,0.25,0.25,0.2525129539610428,DeepConvNet,DeepConvNet,Motor Imaginary,12,0.9750000238418579,0.3333333432674408
0.4444444444444444,0.38703703703703707,0.4444444444444444,0.41286549707602327,0.625,0.17050691244239646,0.17301813512145525,EEGNet,EEGNet,Motor Imaginary,19,0.8305555582046509,0.6111111044883728
0.4444444444444444,0.37373737373737376,0.4444444444444444,0.4055555555555556,0.28125,0.1428571428571429,0.14684725843133115,DeepConvNet,DeepConvNet,Motor Imaginary,13,0.9777777791023254,0.4444444477558136
0.4444444444444444,0.4702380952380952,0.4444444444444444,0.4356060606060606,0.65625,0.22077922077922074,0.23848445651876266,DeepConvNet,DeepConvNet,Motor Imaginary,17,0.9583333134651184,0.4444444477558136
0.3888888888888889,0.4027777777777778,0.3888888888888889,0.3899782135076253,0.71875,0.1353711790393013,0.13839837376961647,HopefullNet,HopefullNet,Motor Imaginary,10,0.9277777671813965,0.6111111044883728
0.3888888888888889,0.3888888888888889,0.3888888888888889,0.3888888888888889,0.421875,0.10407239819004521,0.10454977487335049,HopefullNet,HopefullNet,Motor Imaginary,16,0.9555555582046509,0.4444444477558136
0.3888888888888889,0.35185185185185186,0.3888888888888889,0.3611111111111111,0.390625,0.11607142857142849,0.12277817567065848,EEGNet,EEGNet,Motor Imaginary,12,0.824999988079071,0.3888888955116272
0.3888888888888889,0.39814814814814814,0.3888888888888889,0.3555555555555555,0.609375,0.19512195121951215,0.22022056040721355,DeepConvNet,DeepConvNet,Motor Imaginary,14,0.9861111044883728,0.3888888955116272
0.3333333333333333,0.3402777777777778,0.3333333333333333,0.3311546840958606,0.765625,0.060869565217391286,0.06195660763732612,DeepConvNet,DeepConvNet,Motor Imaginary,19,0.9666666388511658,0.6666666865348816
0.3333333333333333,0.3,0.3333333333333333,0.3157894736842105,0.25,0.00917431192660545,0.009539396783869041,ShallowConvNet,ShallowConvNet,Motor Imaginary,16,1.0,0.4444444477558136
0.3333333333333333,0.3055555555555556,0.3333333333333333,0.3148148148148148,0.421875,0.040000000000000036,0.04129135507635254,HopefullNet,HopefullNet,Motor Imaginary,14,0.9638888835906982,0.3888888955116272
0.3333333333333333,0.3941798941798942,0.3333333333333333,0.3569444444444445,0.578125,0.08860759493670889,0.09060144504910218,EEGNet,EEGNet,Motor Imaginary,14,0.8333333134651184,0.3333333432674408
0.2777777777777778,0.35555555555555557,0.2777777777777778,0.2984126984126984,0.84375,0.03703703703703709,0.039154126866688135,DeepConvNet,DeepConvNet,Motor Imaginary,10,0.9055555462837219,0.4444444477558136
0.2777777777777778,0.3888888888888889,0.2777777777777778,0.3055555555555556,0.4375,-0.044642857142857206,-0.04699032286955008,HopefullNet,HopefullNet,Motor Imaginary,11,0.9388889074325562,0.2777777910232544
0.2777777777777778,0.32275132275132273,0.2777777777777778,0.29444444444444445,0.3125,0.012658227848101222,0.013106561388974928,DeepConvNet,DeepConvNet,Motor Imaginary,16,0.9527778029441833,0.1666666716337204
0.2222222222222222,0.337037037037037,0.2222222222222222,0.2587301587301587,0.4375,-0.016129032258064502,-0.016911542981061366,EEGNet,EEGNet,Motor Imaginary,16,0.7222222089767456,0.3333333432674408
0.2222222222222222,0.5416666666666666,0.2222222222222222,0.29761904761904767,0.609375,0.041825095057034245,0.04596278596835752,DeepConvNet,DeepConvNet,Motor Imaginary,11,0.9361110925674438,0.1666666716337204
0.16666666666666666,0.2222222222222222,0.16666666666666666,0.1746031746031746,0.34375,-0.08870967741935476,-0.09531046156683999,ShallowConvNet,ShallowConvNet,Motor Imaginary,10,0.9750000238418579,0.3888888955116272
0.16666666666666666,0.23809523809523808,0.16666666666666666,0.16358024691358025,0.390625,-0.022727272727272707,-0.025993762245501817,EEGNet,EEGNet,Motor Imaginary,11,0.7555555701255798,0.3333333432674408
