cross_val_score,Accuracy,Precision,Recall,F1_score,auc,kappa,mathew_coef,dataset,subject,pipeline,model_name
0.367,0.35555555555555557,0.3711004273504273,0.35555555555555557,0.35698246778386156,0.4701492537313433,0.14341975713816868,0.14491837228599824,eeg-mi,S020,time domain features -> wavelet,XGB
0.367,0.3111111111111111,0.3330503978779841,0.3111111111111111,0.3134723718093617,0.3754055807916937,0.08539583674807416,0.08680673114639753,eeg-mi,S043,time domain features -> wavelet,SVM
0.367,0.24444444444444444,0.2476262626262626,0.24444444444444444,0.24075646670087963,0.4338092147955873,-0.007241606319947191,-0.00734465937016499,eeg-mi,S051,time domain features -> wavelet,SVM
0.357,0.3345959595959596,0.33763344243078963,0.3345959595959596,0.3354626391903449,0.4590434347540574,0.10798802341460911,0.10814154733796282,BCICIV_II,all,time domain features -> wavelet,XGB
0.356,0.4111111111111111,0.41157407407407404,0.4111111111111111,0.4051700680272109,0.38027255029201823,0.21816095722012785,0.22080390411854292,eeg-mi,S018,time domain features -> wavelet,KNN
0.356,0.2777777777777778,0.28829554817104336,0.2777777777777778,0.27517727565887184,0.5210902011680727,0.0365612648221344,0.037233189439114696,eeg-mi,S022,time domain features -> wavelet,SVM
0.356,0.2222222222222222,0.23426286856571715,0.2222222222222222,0.22374313807240634,0.4464633354964308,-0.035502958579881616,-0.0359347299376265,eeg-mi,S009,time domain features -> wavelet,KNN
0.344,0.4666666666666667,0.5040835707502375,0.4666666666666667,0.4765292362327061,0.4208306294613887,0.29273084479371314,0.2970623009899185,eeg-mi,S051,time domain features -> wavelet,XGB
0.344,0.37777777777777777,0.39552485380116964,0.37777777777777777,0.37820975320975314,0.5311486048020766,0.17606669936243258,0.17944500853103673,eeg-mi,S031,time domain features -> wavelet,XGB
0.344,0.37777777777777777,0.38657264075220726,0.37777777777777777,0.3755431061313414,0.48994159636599616,0.17431192660550454,0.17677532900071213,eeg-mi,S015,time domain features -> wavelet,SVM
0.341,0.37349397590361444,0.4877943145129538,0.37349397590361444,0.3826672206065642,0.5988529014844804,0.17397129186602855,0.18490404086917486,eeg-mi,S041,time domain features -> wavelet,KNN
0.333,0.5222222222222223,0.5274392897113794,0.5222222222222223,0.5149645715914528,0.5006489292667099,0.3624382207578254,0.36741870550158384,eeg-mi,S043,time domain features -> wavelet,XGB
0.333,0.4111111111111111,0.4324136604136604,0.4111111111111111,0.4103747521552904,0.4513303049967553,0.21995094031071138,0.22364799473503755,eeg-mi,S035,time domain features -> wavelet,XGB
0.333,0.28888888888888886,0.32066993464052285,0.28888888888888886,0.2960678612908578,0.4068786502271252,0.059591836734693926,0.06099926351428772,eeg-mi,S051,time domain features -> wavelet,KNN
0.333,0.2777777777777778,0.2965087145969499,0.2777777777777778,0.28236663184708705,0.48312783906554185,0.04051172707889117,0.04089405991220944,eeg-mi,S031,time domain features -> wavelet,SVM
0.333,0.23333333333333334,0.25763090676883776,0.23333333333333334,0.21714599157235787,0.4802076573653472,-0.01057770545158676,-0.011340167469396312,eeg-mi,S037,time domain features -> wavelet,KNN
0.327,0.3472222222222222,0.35830120982236674,0.3472222222222222,0.3477387025213112,0.4561817279046673,0.1326968667905427,0.1340296651749031,BCICIV_II,A05T,time domain features -> wavelet,SVM
0.326,0.2708333333333333,0.3036731388773003,0.2708333333333333,0.26756744009650985,0.550771356205388,0.03786191536748329,0.03919743874020135,BCICIV_II,A06T,time domain features -> wavelet,SVM
0.322,0.4,0.3869067688378033,0.4,0.3788543863011948,0.4600908500973394,0.20678961971601117,0.21188581507364604,eeg-mi,S003,time domain features -> wavelet,SVM
0.322,0.3,0.3108187134502924,0.3,0.29384615384615387,0.4386761842959117,0.06605172129797388,0.067681782107488,eeg-mi,S039,time domain features -> wavelet,SVM
0.322,0.2777777777777778,0.29633547280606104,0.2777777777777778,0.2740720095792559,0.4250486696950032,0.04661016949152541,0.04808991712800583,eeg-mi,S030,time domain features -> wavelet,SVM
0.322,0.26666666666666666,0.27711592111592115,0.26666666666666666,0.2623901600406959,0.3987670343932511,0.025270758122743597,0.0258592318559778,eeg-mi,S010,time domain features -> wavelet,KNN
0.322,0.26666666666666666,0.2743386243386243,0.26666666666666666,0.2586426747889727,0.42602206359506817,0.021577993740734547,0.02211812774331459,eeg-mi,S014,time domain features -> wavelet,SVM
0.322,0.26666666666666666,0.30386865549909026,0.26666666666666666,0.2462951340668732,0.30661907852044124,0.045323047251687676,0.05010134597973964,eeg-mi,S052,time domain features -> wavelet,KNN
0.319,0.2222222222222222,0.25167128878066375,0.2222222222222222,0.21660226956279585,0.48460774577954324,-0.023869984763839502,-0.025406380665397674,BCICIV_II,A01T,time domain features -> wavelet,KNN
0.312,0.31116252168883746,0.31108862204507615,0.31116252168883746,0.3064927275516242,0.4419236757089925,0.08323078010387586,0.08413248110330279,eeg-mi,all,time domain features -> wavelet,SVM
0.311,0.4666666666666667,0.44536610343061955,0.4666666666666667,0.44182998071886964,0.5330953926022063,0.28488660817745415,0.2909762779440254,eeg-mi,S015,time domain features -> wavelet,KNN
0.311,0.3888888888888889,0.3922174122174122,0.3888888888888889,0.3887709127892194,0.5483452303698897,0.18397626112759646,0.1845848494872643,eeg-mi,S032,time domain features -> wavelet,SVM
0.311,0.34444444444444444,0.3342982456140351,0.34444444444444444,0.3257122745535739,0.6258922777417262,0.12086092715231789,0.12387440260690596,eeg-mi,S014,time domain features -> wavelet,KNN
0.311,0.3333333333333333,0.32506172839506176,0.3333333333333333,0.3245711177167726,0.5142764438676184,0.1092048828769383,0.11035511222454164,eeg-mi,S033,time domain features -> wavelet,SVM
0.311,0.32222222222222224,0.31719576719576714,0.32222222222222224,0.31341238471673255,0.408825438027255,0.10058977719528184,0.10199430674706805,eeg-mi,S023,time domain features -> wavelet,XGB
0.311,0.32222222222222224,0.35053475935828876,0.32222222222222224,0.30946659578238517,0.4380272550292018,0.09495548961424338,0.0996513007008602,eeg-mi,S043,time domain features -> wavelet,KNN
