model_name,cross_val_score,Accuracy,Precision,Recall,F1_score,auc,kappa,mathew_coef,model_runtime,dataset,subject
Wavelet -> Time Domain Features => KNN,0.562,0.425,0.42000000000000004,0.425,0.4158730158730159,0.42500000000000004,-0.1499999999999999,-0.15491933384829668,0:00:00.008849,BCICIV_I,BCICIV_calib_ds1b
STD_Scaler => SVM,0.557,0.5689655172413793,0.5668103448275862,0.5689655172413793,0.5657026325546904,0.4782945736434108,0.4255150554675119,0.42669929244686666,0:00:00.162112,BCICIV_II,A05T
STD_Scaler => SVM,0.556,0.725,0.7255639097744361,0.725,0.7248280175109443,0.725,0.44999999999999996,0.450563556889583,0:00:00.160363,BCICIV_I,BCICIV_calib_ds1a
Wavelet => SVM,0.556,0.625,0.6278772378516624,0.625,0.6228786926461345,0.625,0.25,0.25286086871208685,0:00:00.054099,BCICIV_I,BCICIV_calib_ds1a
Wavelet => SVM,0.556,0.625,0.6278772378516624,0.625,0.6228786926461345,0.625,0.25,0.25286086871208685,0:00:00.054099,BCICIV_I,BCICIV_calib_ds1a
PSD -> Time Domain Features -> STD_Scaler => KNN,0.556,0.6,0.601010101010101,0.6,0.5989974937343359,0.6,0.19999999999999996,0.20100756305184242,0:00:00.008082,BCICIV_I,BCICIV_calib_ds1a
Wavelet -> Time Domain Features => LDA,0.556,0.55,0.5520833333333333,0.55,0.5454545454545454,0.55,0.09999999999999998,0.10206207261596575,0:00:00.433403,BCICIV_I,BCICIV_calib_ds1b
bandpass -> PSD => KNN,0.556,0.525,0.5255754475703325,0.525,0.5223130106851037,0.525,0.050000000000000044,0.05057217374241736,0:00:00.053170,BCICIV_I,BCICIV_calib_ds1e
Wavelet => LDA,0.556,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0:00:03.201841,BCICIV_I,BCICIV_calib_ds1b
Wavelet => LDA,0.556,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0:00:03.201841,BCICIV_I,BCICIV_calib_ds1b
bandpass -> PSD => LDA,0.556,0.425,0.42000000000000004,0.425,0.4158730158730159,0.42500000000000004,-0.1499999999999999,-0.15491933384829668,0:00:12.028687,BCICIV_I,BCICIV_calib_ds1e
 => SVM,0.55,0.625,0.6278772378516624,0.625,0.6228786926461345,0.625,0.25,0.25286086871208685,0:00:00.149869,BCICIV_I,BCICIV_calib_ds1a
bandpass -> PSD => KNN,0.55,0.6,0.6333333333333333,0.6,0.5733333333333335,0.6,0.19999999999999996,0.23094010767585033,0:00:00.052664,BCICIV_I,BCICIV_calib_ds1f
Wavelet => LDA,0.55,0.45,0.4494949494949495,0.45,0.44862155388471175,0.44999999999999996,-0.10000000000000009,-0.10050378152592121,0:00:03.333638,BCICIV_I,BCICIV_calib_ds1d
Wavelet => LDA,0.55,0.45,0.4494949494949495,0.45,0.44862155388471175,0.44999999999999996,-0.10000000000000009,-0.10050378152592121,0:00:03.333638,BCICIV_I,BCICIV_calib_ds1d
STD_Scaler => LDA,0.544,0.65,0.6648351648351649,0.65,0.6419437340153452,0.65,0.30000000000000004,0.3144854510165755,0:00:48.383969,BCICIV_I,BCICIV_calib_ds1b
Wavelet -> Time Domain Features => KNN,0.544,0.525,0.5255754475703325,0.525,0.5223130106851037,0.525,0.050000000000000044,0.05057217374241736,0:00:00.007975,BCICIV_I,BCICIV_calib_ds1c
bandpass -> PSD => KNN,0.544,0.5,0.5,0.5,0.4987468671679198,0.5,0.0,0.0,0:00:00.059986,BCICIV_I,BCICIV_calib_ds1b
STD_Scaler => LDA,0.544,0.475,0.47442455242966747,0.475,0.47203016970458833,0.47500000000000003,-0.050000000000000044,-0.05057217374241736,0:00:49.204021,BCICIV_I,BCICIV_calib_ds1d
Wavelet -> Time Domain Features => KNN,0.544,0.45,0.45,0.45,0.45,0.45,-0.10000000000000009,-0.1,0:00:00.014960,BCICIV_I,BCICIV_calib_ds1g
